metric,none_mean,none_sem,none_std_within,shuffle_time_mean,shuffle_time_sem,shuffle_time_std_within,p_shuffle_time_corrected,es_shuffle_time,zero_mean,zero_sem,zero_std_within,p_zero_corrected,es_zero
mrr,0.3530037785969587,0.004714465348612055,0.024981230184731917,0.3630616694648679,0.003344494962269802,0.010958818034638875,1.0,-0.4065934065934066,0.35246898338407984,0.0016080747007894663,0.010448594481108046,1.0,0.14285714285714285
word_acc,0.19601535759322644,0.005215379427473726,0.037713451812797574,0.2128884435236894,0.0032584109800018763,0.026641323738929596,0.40283203125,-0.7582417582417582,0.20360070257611243,0.0022333807218591047,0.026465010860960727,1.0,-0.45054945054945056
bleu1,0.3774218609259593,0.006036630638980506,0.03752754930835685,0.3647507205908846,0.004815442911176807,0.019225621902344066,1.0,0.42857142857142855,0.36685957485137816,0.004245330432332143,0.009830521275721331,1.0,0.4065934065934066
wer,0.7971210142316699,0.004531898337953092,0.035286234554888746,0.7861488920915151,0.0030445372585373672,0.025937788619757665,1.0,0.5384615384615384,0.7963992974238878,0.0022333807218590913,0.026465010860960727,1.0,-0.16483516483516483
recall_auc,0.7915120078342289,0.0018708881849306364,0.015927018519314554,0.7904766527454952,0.0011410109334951243,0.012236615354239665,1.0,0.2967032967032967,0.7859889011428395,0.0008561629889633905,0.012106211864813114,0.623046875,0.7142857142857143
