metric,none_mean,none_sem,none_std_within,shuffle_time_mean,shuffle_time_sem,shuffle_time_std_within,p_shuffle_time_corrected,es_shuffle_time,zero_mean,zero_sem,zero_std_within,p_zero_corrected,es_zero
mrr,0.3860764848678163,0.007150486230009329,0.017032670143865,0.384847917062048,0.0008451024188975419,0.016115910949177102,1.0,0.3333333333333333,0.37798429786875576,0.0013738956818795944,0.007776728258399666,1.0,1.0
word_acc,0.25082136101603314,0.011546905962889582,0.03022837994243365,0.25190168438119254,0.0021279949558638267,0.025057357634456205,1.0,-0.3333333333333333,0.2483167447306791,0.00036592505854800284,0.010632293113623192,1.0,0.3333333333333333
bleu1,0.4096913844352369,0.00976456944694648,0.03274036453027759,0.398641573590344,0.001624144298324609,0.03818805784844687,1.0,1.0,0.39497950819672134,0.024956088992974246,0.042602498613897075,1.0,0.3333333333333333
wer,0.7443529319041613,0.012204445145018948,0.031639826167734204,0.7462782606737524,0.0004453026481716082,0.025049561610052097,1.0,-0.3333333333333333,0.7382903981264635,0.013026932084309216,0.024050980284609703,1.0,1.0
recall_auc,0.7560650121819406,0.007900061129394398,0.00784566914682363,0.7494668341454627,0.010747720142712134,0.004904501194886859,1.0,1.0,0.7488335023133603,0.01111608927857427,0.006576998809983067,1.0,1.0
