eval_scheme,fold_id,control,n_trials,mrr_mean,mrr_std,word_acc_mean,word_acc_std,bleu1_mean,bleu1_std,wer_mean,wer_std,recall_auc_mean,recall_auc_std
loso,sub-01,none,20,0.3517333751797612,0.015665951835366936,0.20109777517564403,0.03269285831419411,0.3636709601873536,0.024177693923011584,0.7947306791569086,0.02930135539764351,0.791570693151311,0.012938423179334697
loso,sub-01,shuffle_time,20,0.37745622588170297,0.010138926978639428,0.22813231850117094,0.02218105923758135,0.3867388758782201,0.019902674929065268,0.7710480093676816,0.021897989503188442,0.7913984406237505,0.012021666591844319
loso,sub-01,zero,20,0.3522363212203675,0.005649342668761604,0.19730679156908665,0.0174200071489868,0.3760245901639344,0.0010512073279560874,0.8026932084309134,0.017420007148986828,0.7859909607585536,0.013019221070452905
loso,sub-03,none,20,0.3499905020524544,0.016314984939459865,0.19335480093676816,0.03195005440574385,0.3590456674473068,0.025558367088767072,0.8007611241217798,0.029663591535589732,0.792670074827212,0.01406875667606867
loso,sub-03,shuffle_time,20,0.3541848327276605,0.014471154606411112,0.20585480093676817,0.03887438386207456,0.3590310304449649,0.02340792957857686,0.7941451990632319,0.03887438386207456,0.7873018649682983,0.011699289477226768
loso,sub-03,zero,20,0.35102481239168226,0.007849012035978717,0.19730679156908665,0.0174200071489868,0.3760245901639344,0.0010512073279560874,0.8026932084309134,0.017420007148986828,0.786387230821957,0.00851038406448081
loso,sub-04,none,20,0.35219372667077564,0.02408980179878505,0.19372072599531615,0.042808151725368955,0.3856996487119438,0.027965723830524567,0.7986094847775177,0.03961349230152989,0.7938508525161364,0.011004429469511546
loso,sub-04,shuffle_time,20,0.3714370584253529,0.004748653356602526,0.21339285714285716,0.016582325984133933,0.3788348946135832,0.02852627265487409,0.786607142857143,0.016582325984133905,0.7983790412406466,0.008778731194932164
loso,sub-04,zero,20,0.34691500669305253,0.015693449403225562,0.1980386416861827,0.03499018677339592,0.367827868852459,0.007358451295692698,0.8019613583138174,0.03499018677339591,0.7852180556348888,0.011555955120911073
loso,sub-05,none,20,0.3587177881288064,0.020808917317397663,0.20177107728337237,0.0373342033060341,0.40535714285714286,0.034161264284077945,0.7872804449648712,0.034973783191713674,0.7956172887987663,0.017675115787397694
loso,sub-05,shuffle_time,20,0.3549653220405397,0.007888777986669858,0.2045228337236534,0.028736636212229785,0.34840456674473075,0.014029766568951153,0.793764637002342,0.028905217418183658,0.7902108799337408,0.013555117137827873
loso,sub-05,zero,20,0.34385993076398413,0.013238528860510641,0.2062353629976581,0.026580528149747113,0.34104215456674475,0.020123111706588204,0.793764637002342,0.026580528149747103,0.7805449248871879,0.016145372479548743
loso,sub-06,none,20,0.365216878695009,0.030261017883973094,0.2025322014051522,0.03577791388674422,0.4116217798594848,0.032956053710845166,0.7909104215456675,0.03480165712786177,0.7973573070771691,0.018253949100871296
loso,sub-06,shuffle_time,20,0.3520728828086176,0.01496813995038418,0.20548887587822015,0.034769968041082865,0.3501756440281031,0.026229865865392568,0.7919789227166277,0.03201519392404015,0.7850443751071,0.012942280644724063
loso,sub-06,zero,20,0.3638255083942089,0.002398214649251617,0.21443208430913355,0.018170869526098317,0.3760245901639344,0.0010512073279560874,0.7855679156908667,0.01817086952609829,0.7905587764894042,0.013460581638462256
loso,sub-09,none,20,0.3693963828415706,0.01823979954350814,0.21071428571428572,0.030200666774578565,0.38830503512880565,0.02047869731970844,0.7875731850117097,0.026719101925211826,0.7975231336037013,0.013358890348270314
loso,sub-09,shuffle_time,20,0.366683093350831,0.007592816956135681,0.21778395784543325,0.021827759148330378,0.37274590163934423,0.016776113989694467,0.782216042154567,0.021827759148330378,0.791579618152739,0.012550275762387946
loso,sub-09,zero,20,0.3539330587917191,0.010327363863357298,0.2062353629976581,0.026580528149747113,0.3581674473067915,0.019372249329476687,0.793764637002342,0.026580528149747103,0.7884596161535387,0.011306888576308292
loso,sub-10,none,20,0.31893766725852735,0.045870570194716784,0.15212236533957846,0.04619636092396332,0.3509367681498829,0.07128424040074069,0.8333577283372365,0.04862703248923843,0.7842732549837208,0.027746433819649134
loso,sub-10,shuffle_time,20,0.36317226511151407,0.012859783925760813,0.20750878220140517,0.024744537202593536,0.3746779859484778,0.019501363197045242,0.7916715456674475,0.024058788231472415,0.7911144470783115,0.012589928607854389
