metric,none_mean,none_sem,none_std_within,shuffle_time_mean,shuffle_time_sem,shuffle_time_std_within,p_shuffle_time_corrected,es_shuffle_time,zero_mean,zero_sem,zero_std_within,p_zero_corrected,es_zero
mrr,0.3223490606221645,0.005291553907179132,0.022145764756473976,0.3309345554803989,0.009856643400942389,0.011201415493776316,1.0,-0.3333333333333333,0.3405918382803302,0.004075174843302064,0.010917401044397975,1.0,-0.8666666666666667
word_acc,0.16740564763105745,0.005762420506214307,0.034909716471044766,0.17761889749594664,0.009963867453416337,0.023616839316025838,1.0,-0.3333333333333333,0.20117096018735364,0.0033183088287709523,0.027667796357281477,1.0,-1.0
bleu1,0.33382723833543504,0.008682199420717183,0.03273573283781993,0.31574603675013513,0.01709687166546584,0.01913862678375279,1.0,0.3333333333333333,0.33313817330210777,0.00595188103376683,0.006621352974392139,1.0,-0.06666666666666667
wer,0.8262126193478652,0.005251555619758697,0.032404987563816365,0.8201112412177984,0.009096820640594134,0.020968447687202175,1.0,0.3333333333333333,0.7988290398126464,0.0033183088287709003,0.027667796357281466,1.0,1.0
recall_auc,0.7769951497423009,0.0018725567165159,0.017763139553810325,0.777392669305904,0.0033934357238665346,0.015885135737980303,1.0,-0.06666666666666667,0.772453518592563,0.003191867415588464,0.01743908933156408,1.0,1.0
