metric,kw_stat,kw_p_corrected,loso_mean,loso_sem,loso_std_within,session_cv_mean,session_cv_sem,session_cv_std_within,stimulus_mean,stimulus_sem,stimulus_std_within,p_loso_vs_session_cv_corrected,es_loso_vs_session_cv,p_loso_vs_stimulus_corrected,es_loso_vs_stimulus,p_session_cv_vs_stimulus_corrected,es_session_cv_vs_stimulus
mrr,10.699120879120883,0.018587906453166915,0.3530037785969587,0.004714465348612055,0.024981230184731917,0.3223490606221645,0.005291553907179132,0.022145764756473976,0.3860764848678163,0.007150486230009329,0.017032670143865,0.02030812324929972,-0.8153846153846154,0.0380952380952381,1.0,0.09523809523809523,1.0
word_acc,10.287692307692296,0.018587906453166915,0.19601535759322644,0.005215379427473726,0.037713451812797574,0.16740564763105745,0.005762420506214307,0.034909716471044766,0.25082136101603314,0.011546905962889582,0.03022837994243365,0.029411764705882353,-0.7846153846153847,0.0380952380952381,1.0,0.09523809523809523,1.0
bleu1,10.743076923076913,0.018587906453166915,0.3774218609259593,0.006036630638980506,0.03752754930835685,0.33382723833543504,0.008682199420717183,0.03273573283781993,0.4096913844352369,0.00976456944694648,0.03274036453027759,0.008403361344537815,-0.8769230769230769,0.1523809523809524,0.8461538461538461,0.1523809523809524,1.0
wer,10.699120879120883,0.018587906453166915,0.7971210142316699,0.004531898337953092,0.035286234554888746,0.8262126193478652,0.005251555619758697,0.032404987563816365,0.7443529319041613,0.012204445145018948,0.031639826167734204,0.02030812324929972,0.8153846153846154,0.0380952380952381,-1.0,0.09523809523809523,-1.0
recall_auc,12.028351648351645,0.01221930853249697,0.7915120078342289,0.0018708881849306364,0.015927018519314554,0.7769951497423009,0.0018725567165159,0.017763139553810325,0.7560650121819406,0.007900061129394398,0.00784566914682363,0.004901960784313725,-0.9076923076923078,0.0380952380952381,-1.0,0.09523809523809523,-1.0
