metric,kw_stat,kw_p_corrected,loso_mean,loso_sem,loso_std_within,session_cv_mean,session_cv_sem,session_cv_std_within,stimulus_mean,stimulus_sem,stimulus_std_within,p_loso_vs_session_cv_corrected,es_loso_vs_session_cv,p_loso_vs_stimulus_corrected,es_loso_vs_stimulus,p_session_cv_vs_stimulus_corrected,es_session_cv_vs_stimulus
mrr,5.714505494505488,0.17227892501260705,0.2825613504062293,0.004124577242007324,0.02121272008927482,0.2763727755291322,0.002653112167090101,0.016184734445112967,0.24633169632628332,0.011460528070911675,0.02013187207304655,0.44304388422035484,-0.2615384615384615,0.05714285714285715,-1.0,0.19047619047619047,-1.0
word_acc,5.192307692307693,0.17227892501260705,0.12826742929201942,0.003024188823294696,0.026330242881212804,0.12647495946676274,0.0033521554780154956,0.02550630390090964,0.08349621689785625,0.011747883264276704,0.02526041149223753,0.8489729225023341,-0.07692307692307687,0.05714285714285715,-1.0,0.19047619047619047,-1.0
bleu1,4.208791208791212,0.17227892501260705,0.3632588722752657,0.009300634118098672,0.03676174383828086,0.3362186993334535,0.006272038196326078,0.02666850422818957,0.4014479373085931,0.0022484687443703744,0.03368019999558988,0.45714285714285713,-0.3846153846153846,0.45714285714285713,0.6153846153846154,0.2857142857142857,1.0
wer,6.379120879120876,0.16475988977126535,0.8122624301927582,0.006412667023647073,0.03461981918599512,0.8308367861646548,0.004021718992661617,0.029944819116995702,0.7669665375607999,0.006165555755719697,0.03210251267481049,0.24603174603174605,0.3846153846153846,0.05714285714285715,-1.0,0.19047619047619047,-1.0
recall_auc,7.043736263736264,0.14772095568704757,0.7804900292630201,0.0024977862245559963,0.016362626959140293,0.7731399198562334,0.0020209481753191475,0.020657534968849204,0.7313504955160792,0.01782865150643037,0.010603975505400338,0.19047619047619047,-0.476923076923077,0.05714285714285715,-1.0,0.19047619047619047,-1.0
