eval_scheme,fold_id,control,n_trials,mrr_mean,mrr_std,word_acc_mean,word_acc_std,bleu1_mean,bleu1_std,wer_mean,wer_std,recall_auc_mean,recall_auc_std
loso,sub-01,none,20,0.29299217148063117,0.024456043475342727,0.13610948477751755,0.03308262141347416,0.41424180327868854,0.04771378947472754,0.785114168618267,0.032052234945489554,0.78285774975724,0.018244450965156332
loso,sub-01,shuffle_time,20,0.29137939438426474,0.01365884136867798,0.1369291569086651,0.011435168094411979,0.37274590163934423,0.010057341175719789,0.8008928571428573,0.01134543858559187,0.7894958088193295,0.016500930981519047
loso,sub-01,zero,20,0.29668065255919474,0.004660819327253821,0.1370023419203747,0.009626043960640663,0.3546545667447307,0.007602050505409355,0.8287470725995316,0.007508623771115041,0.7808280259324841,0.015888308048839107
loso,sub-03,none,20,0.2955085918067833,0.014915445369287659,0.13603629976580794,0.015937283456410566,0.3798887587822014,0.027179658204171717,0.8012734192037472,0.019849887327453516,0.7880244330839092,0.016276910535086873
loso,sub-03,shuffle_time,20,0.30279303235756677,0.02216752235500473,0.140442037470726,0.017527611278043365,0.39396955503512887,0.0037460131930206605,0.770974824355972,0.020623722466767518,0.7907667290226766,0.019775953768676705
loso,sub-03,zero,20,0.28929851513289095,0.005398710991428751,0.142286299765808,0.012234209730570099,0.3588992974238876,0.0018020697050676027,0.7971018735362999,0.010192673982021288,0.7758637616382019,0.006087282221190372
loso,sub-04,none,20,0.26158408506554254,0.037773498723576424,0.11412470725995316,0.047029193109683266,0.3364461358313818,0.07965956110175143,0.8289227166276346,0.05762651503766003,0.762950712572114,0.018902143680629747
loso,sub-04,shuffle_time,20,0.2990483669612449,0.021308033029673507,0.13805620608899297,0.015491337207442668,0.3816744730679157,0.017008542786964724,0.7865339578454333,0.02065154934026216,0.7899550893928143,0.015008442356843229
loso,sub-04,zero,20,0.31400783257236586,0.012937896925094767,0.16230971896955504,0.021159397709586556,0.35582552693208436,0.028466696976142476,0.8048009367681498,0.049306323494245095,0.780885681441709,0.007804559598864776
loso,sub-05,none,20,0.2994354285565076,0.018035823396788022,0.13916861826697893,0.014966222352575472,0.38183548009367685,0.031093068696579598,0.7862412177985949,0.02769965402055128,0.7889176472268237,0.01820176059810216
loso,sub-05,shuffle_time,20,0.29269434974477493,0.01549529397196197,0.13782201405152228,0.00854300578421475,0.3658811475409836,0.02616283386417861,0.7940573770491804,0.02276795006481354,0.7888023362083738,0.01689999599521914
loso,sub-05,zero,20,0.26127144386060974,0.012734539680771836,0.09881440281030447,0.011910665547359757,0.4380269320843091,0.03515872170012326,0.7947453161592507,0.045023028007097565,0.7759672916547666,0.0161734474879553
loso,sub-06,none,20,0.2918502633181586,0.026155188206571665,0.12942037470725998,0.021380236276769393,0.4110948477751757,0.017295827596956713,0.7909982435597193,0.020231409558512586,0.7912902696064431,0.015746166342387107
loso,sub-06,shuffle_time,20,0.2975598549996489,0.023110008053770142,0.1399882903981265,0.01910571642410723,0.3881440281030445,0.024950134305145238,0.792491217798595,0.01982828937559591,0.7884546181527389,0.01947592058428261
loso,sub-06,zero,20,0.26123264242259403,0.013418560796141222,0.10096604215456675,0.016400016950475396,0.3442330210772834,0.01228366787780225,0.8227312646370024,0.031230022666954675,0.780705217912835,0.014315700973843246
loso,sub-09,none,20,0.2950549771306782,0.012074213356376397,0.14124707259953162,0.01322728847631085,0.3673741217798595,0.024264912074623043,0.8069379391100704,0.02376647264434046,0.7887141571942652,0.015564301478780405
loso,sub-09,shuffle_time,20,0.29918641689688913,0.01955918543528285,0.14423302107728336,0.011278382817221917,0.37429742388758785,0.02529261165175513,0.7901053864168619,0.015799400560098386,0.7913095476095278,0.015735397215980825
loso,sub-09,zero,20,0.2820005253187232,0.024590084943317193,0.11415398126463701,0.011485779578174055,0.3606850117096019,0.005182060253664901,0.8099970725995316,0.027640626053506874,0.7817849645855942,0.01692553522872266
loso,sub-10,none,20,0.26653894563856045,0.020794127775794275,0.11288056206088992,0.02710792467235324,0.33217213114754096,0.03538900971213069,0.835084894613583,0.037868517035160046,0.7737679928028788,0.016894492804093334
loso,sub-10,shuffle_time,20,0.2773204364142235,0.00591729738043259,0.1221750585480094,0.021966547819989496,0.3318647540983607,0.014603460582232457,0.8119437939110069,0.04295199528716634,0.7840968969555036,0.016995466718787572
loso,sub-10,zero,20,0.2573393532436924,0.01893186815625543,0.11987704918032786,0.0052560366397805015,0.31214871194379396,0.017332297929490457,0.8548009367681498,0.0024027596067568036,0.7729933026789285,0.02580365675976782
loso,sub-11,none,20,0.2722743368186423,0.028926783670325574,0.12299473067915692,0.035054164276525836,0.31339285714285714,0.03341187064814519,0.8458870023419204,0.04528953639139737,0.7757423816187811,0.018455680683523507
loso,sub-11,shuffle_time,20,0.297361949931248,0.01511659690443478,0.14877049180327867,0.010440432877310042,0.35828454332552695,0.027727695558958574,0.7955503512880563,0.025940381500524554,0.7873764779802365,0.015399586404612108
loso,sub-11,zero,20,0.26354771579312336,0.006448551826214667,0.11987704918032786,0.0052560366397805015,0.3180913348946136,0.0058612684603556045,0.8451405152224826,0.024327941018412607,0.7525646884103502,0.014408476653753013
loso,sub-12,none,20,0.2791708796830332,0.012933167829060345,0.1224824355971897,0.021454470470167412,0.3684865339578455,0.028312968287235157,0.8175936768149883,0.03854771535348639,0.7826112412177986,0.014571575496166826
loso,sub-12,shuffle_time,20,0.3083215442347323,0.019054367888934793,0.16367096018735364,0.015602884062438262,0.371692037470726,0.021177428761002412,0.7982289227166277,0.02413601532315383,0.7868841749014678,0.020130077816621596
loso,sub-12,zero,20,0.2799868078247222,0.030536214842350588,0.13919789227166274,0.05871743789011933,0.32456088992974236,0.01640887024764544,0.8167154566744731,0.050352801897216096,0.770695293311247,0.012438844239385105
loso,sub-13,none,20,0.2790379641979544,0.015792837897752363,0.1285860655737705,0.02363389875966383,0.3494877049180328,0.05442050565732295,0.8208723653395786,0.039671452544368865,0.7722134360541497,0.015328335613699107
loso,sub-13,shuffle_time,20,0.2875096521332456,0.0081438651984033,0.13997365339578455,0.017840913541299068,0.3386416861826699,0.010633483831838429,0.8036738875878221,0.03531145700743424,0.7839919389387101,0.013768251270820592
loso,sub-13,zero,20,0.3047762628350398,0.021675987626066855,0.15286885245901638,0.01085679490288246,0.3653688524590164,0.013754979005505085,0.8019467213114755,0.017868499024971993,0.7914134346261494,0.01624229512992071
loso,sub-14,none,20,0.2606622672683302,0.01814196226449848,0.11324648711943794,0.026071131148308,0.3346750585480093,0.04675579687513639,0.8303278688524591,0.045221657722818304,0.7704680627748901,0.013073116855945319
