metric,none_mean,none_sem,none_std_within,shuffle_time_mean,shuffle_time_sem,shuffle_time_std_within,p_shuffle_time_corrected,es_shuffle_time,zero_mean,zero_sem,zero_std_within,p_zero_corrected,es_zero
mrr,0.2825613504062293,0.004124577242007324,0.02121272008927482,0.2956323051812535,0.00217425975708847,0.015913673952494094,0.580078125,-0.7142857142857143,0.2789982002369575,0.005051475796028483,0.015048187327619037,1.0,0.27472527472527475
word_acc,0.12826742929201942,0.003024188823294696,0.026330242881212804,0.14194289317240136,0.0027254316526988324,0.014627377346581863,0.13916015625,-0.8461538461538461,0.12779116375427854,0.005292616457625645,0.015774034532178408,1.0,0.01098901098901099
bleu1,0.3632588722752657,0.009300634118098672,0.03676174383828086,0.3692769320843092,0.0049168377444659545,0.02010769112270204,1.0,-0.18681318681318682,0.35631530354891006,0.00908469914345709,0.016295760002618735,1.0,0.18681318681318682
wer,0.8122624301927582,0.006412667023647073,0.03461981918599512,0.7953893442622952,0.0028196613044020693,0.027014826144668474,0.304443359375,0.7802197802197802,0.8189188884885608,0.005214621114939323,0.025520282535934722,1.0,-0.18681318681318682
recall_auc,0.7804900292630201,0.0024977862245559963,0.016362626959140293,0.7882762554318933,0.000677595900968682,0.017029148979585334,0.304443359375,-0.7802197802197802,0.7767905063249427,0.00274317667283175,0.014914606586026075,1.0,0.27472527472527475
