metric,none_mean,none_sem,none_std_within,shuffle_time_mean,shuffle_time_sem,shuffle_time_std_within,p_shuffle_time_corrected,es_shuffle_time,zero_mean,zero_sem,zero_std_within,p_zero_corrected,es_zero
mrr,0.24633169632628332,0.011460528070911675,0.02013187207304655,0.26141225023154835,0.009486742418636838,0.016758206018369567,1.0,-1.0,0.25405232126125254,0.01445420034969269,0.017048507120949567,1.0,-1.0
word_acc,0.08349621689785625,0.011747883264276704,0.02526041149223753,0.10563862367141055,0.0028012970635921466,0.0168178312117276,1.0,-1.0,0.10384333903801116,0.009708273284092954,0.03671800343249663,1.0,-1.0
bleu1,0.4014479373085931,0.0022484687443703744,0.03368019999558988,0.4236916771752838,0.0076022338317420215,0.027326952320049794,1.0,-1.0,0.38635549900918753,0.012106489821653769,0.04080238436464299,1.0,1.0
wer,0.7669665375607999,0.006165555755719697,0.03210251267481049,0.7335891055665645,0.019969937849036223,0.026236461607563055,1.0,1.0,0.7812894073139975,0.0036097099621689717,0.02991664099689738,1.0,-1.0
recall_auc,0.7313504955160792,0.01782865150643037,0.010603975505400338,0.7376630529107039,0.013727242619435807,0.013209835316985531,1.0,-1.0,0.7239727392010229,0.0182011330083352,0.008148529697120203,1.0,1.0
