metric,none_mean,none_sem,none_std_within,shuffle_time_mean,shuffle_time_sem,shuffle_time_std_within,p_shuffle_time_corrected,es_shuffle_time,zero_mean,zero_sem,zero_std_within,p_zero_corrected,es_zero
mrr,0.2763727755291322,0.002653112167090101,0.016184734445112967,0.28152821292862185,0.0014120458417638713,0.007247607171910216,1.0,-0.6,0.25430146642732515,0.005439541832339767,0.012963004714798252,1.0,1.0
word_acc,0.12647495946676274,0.0033521554780154956,0.02550630390090964,0.13056881642947218,0.003067963924861171,0.018085375503534958,1.0,-0.2,0.11768262475229689,0.00978608675416758,0.016904736509059784,1.0,0.4666666666666667
bleu1,0.3362186993334535,0.006272038196326078,0.02666850422818957,0.3186306521347505,0.005106079970660023,0.013569976298224637,1.0,0.7333333333333333,0.2895367951720411,0.010660846142381981,0.028062690771328568,1.0,1.0
wer,0.8308367861646548,0.004021718992661617,0.029944819116995702,0.8235194109169518,0.005151335339556523,0.027437408002168612,1.0,0.4666666666666667,0.8518498919113672,0.007343301003083385,0.016414516302029197,1.0,-0.8666666666666667
recall_auc,0.7731399198562334,0.0020209481753191475,0.020657534968849204,0.7744852059176328,0.0013693346358329154,0.01833287339233131,1.0,0.06666666666666667,0.7406474635420557,0.008869576262704001,0.012080092380136045,1.0,1.0
