metric,real_mean,real_std,shuffle_mean,shuffle_std,zero_mean,zero_std,W_vs_shuffle,p_vs_shuffle,d_vs_shuffle,W_vs_zero,p_vs_zero,d_vs_zero,n
R@1,0.031533,0.001853,0.020356,0.001383,0.018385,0.001898,0.000000,0.062500,4.345447,0.000000,0.062500,4.013661,5
MRR,0.117856,0.002336,0.097632,0.003523,0.090899,0.003281,0.000000,0.062500,3.861590,0.000000,0.062500,9.561990,5
Word Acc.,0.031533,0.001853,0.020356,0.001383,0.018385,0.001898,0.000000,0.062500,4.345447,0.000000,0.062500,4.013661,5
BLEU-1,0.268697,0.020081,0.256902,0.050017,0.047727,0.020945,7.000000,1.000000,0.178531,0.000000,0.062500,9.679053,5
WER,0.962166,0.002777,0.970915,0.003224,0.981019,0.002721,0.000000,0.062500,-1.753208,0.000000,0.062500,-4.673913,5
