metric,real_mean,real_std,shuffle_mean,shuffle_std,zero_mean,zero_std,W_vs_shuffle,p_vs_shuffle,d_vs_shuffle,W_vs_zero,p_vs_zero,d_vs_zero,n
R@1,0.039756,0.006579,0.019478,0.002571,0.017455,0.001041,0.000000,0.500000,5.058728,0.000000,0.500000,4.026453,2
MRR,0.132547,0.010027,0.099845,0.006688,0.088224,0.002983,0.000000,0.500000,9.793824,0.000000,0.500000,3.406874,2
Word Acc.,0.039756,0.006579,0.019478,0.002571,0.017455,0.001041,0.000000,0.500000,5.058728,0.000000,0.500000,4.026453,2
BLEU-1,0.266764,0.004483,0.233998,0.033034,0.037842,0.002697,0.000000,0.500000,0.873368,0.000000,0.500000,128.136320,2
WER,0.952677,0.005591,0.970890,0.004283,0.982322,0.000822,0.000000,0.500000,-13.923935,0.000000,0.500000,-6.215246,2
